"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que se pueda acceder a la vista de polen","406","Prueba de vista de polen","tests","Tue May 20 14:51:06 COT 2025","passed","Tue May 20 14:51:07 COT 2025","TestVistaVerPolen","test_ver_reportes","",""
"Prueba que las rutas son continuas (no hay saltos grandes entre puntos)","5","test_continuidad_rutas","tests","Tue May 20 14:51:06 COT 2025","passed","Tue May 20 14:51:06 COT 2025","","test_rutas_data","",""
"Verifica el manejo de usuarios con datos incompletos en la base de datos","4","Prueba de carga de usuario con datos incompletos","tests","Tue May 20 14:51:01 COT 2025","passed","Tue May 20 14:51:01 COT 2025","TestLogin","test_eco_guardian","",""
"Verifica el manejo de errores al registrar un reporte de contaminación","566","Prueba de registro de reporte con error","tests","Tue May 20 14:51:00 COT 2025","passed","Tue May 20 14:51:00 COT 2025","TestRegistrarReporte","test_eco_guardian","",""
"Verifica que se puedan obtener los comentarios de un reporte","565","Prueba de obtener comentarios","tests","Tue May 20 14:51:03 COT 2025","passed","Tue May 20 14:51:03 COT 2025","TestApiReaccion","test_eco_guardian","",""
"Verifica el manejo de usuarios que no existen en la base de datos","4","Prueba de carga de usuario no encontrado","tests","Tue May 20 14:51:02 COT 2025","passed","Tue May 20 14:51:02 COT 2025","TestLogin","test_eco_guardian","",""
"Verifica el flujo completo de actualización de perfil","941","Prueba de integración: Actualización completa de perfil","tests","Tue May 20 14:51:02 COT 2025","passed","Tue May 20 14:51:02 COT 2025","TestPerfilIntegracion","test_eco_guardian","",""
"","391","test_estructura_rutas","tests","Tue May 20 14:51:05 COT 2025","passed","Tue May 20 14:51:05 COT 2025","TestRutasData","test_eco_guardian","",""
"Verifica que se puedan editar las condiciones de salud","487","Prueba de edición de condiciones","tests","Tue May 20 14:50:58 COT 2025","passed","Tue May 20 14:50:59 COT 2025","ProfileTests","test_eco_guardian","",""
"Prueba que las coordenadas están dentro del área de Sabaneta","1","test_coordenadas_sabaneta","tests","Tue May 20 14:51:06 COT 2025","passed","Tue May 20 14:51:06 COT 2025","","test_rutas_data","",""
"Verifica que se pueda acceder a la vista de contaminación","396","Prueba de vista de contaminación","tests","Tue May 20 14:51:08 COT 2025","passed","Tue May 20 14:51:08 COT 2025","TestVistaVerContaminacion","test_ver_reportes","",""
"Prueba que los nombres de las rutas son únicos","2","test_nombres_rutas","tests","Tue May 20 14:51:06 COT 2025","passed","Tue May 20 14:51:06 COT 2025","","test_rutas_data","",""
"Verifica que se puedan geocodificar direcciones con caracteres especiales","4","Prueba de geocodificación con dirección con caracteres especiales","tests","Tue May 20 14:51:01 COT 2025","passed","Tue May 20 14:51:01 COT 2025","TestGeocodificarDireccion","test_eco_guardian","",""
"Verifica el proceso de reportar polen","1296","Prueba de reporte de polen","tests","Tue May 20 14:50:57 COT 2025","passed","Tue May 20 14:50:58 COT 2025","ReportTests","test_eco_guardian","",""
"Verifica que el login falle con credenciales incorrectas","261","Prueba de login fallido","tests","Tue May 20 14:50:54 COT 2025","passed","Tue May 20 14:50:54 COT 2025","AuthTests","test_eco_guardian","",""
"Verifica que se pueda agregar una reacción correctamente","373","Prueba de reacción exitosa","tests","Tue May 20 14:51:02 COT 2025","passed","Tue May 20 14:51:03 COT 2025","TestApiReaccion","test_eco_guardian","",""
"Verifica que se pueda reaccionar a un reporte estando autenticado","387","Prueba de reacción a reporte de incendio autenticado","tests","Tue May 20 14:51:08 COT 2025","passed","Tue May 20 14:51:09 COT 2025","TestVistaVerIncendios","test_ver_reportes","",""
"","199","test_panel_rutas","tests","Tue May 20 14:51:09 COT 2025","passed","Tue May 20 14:51:10 COT 2025","","test_vistarutas","",""
"Verifica que se pueda acceder a la vista sin estar autenticado","484","Prueba de vista de incendios sin autenticación","tests","Tue May 20 14:51:09 COT 2025","passed","Tue May 20 14:51:09 COT 2025","TestVistaVerIncendios","test_ver_reportes","",""
"Verifica que se pueda reaccionar a un reporte estando autenticado","589","Prueba de reacción a reporte de contaminación autenticado","tests","Tue May 20 14:51:07 COT 2025","passed","Tue May 20 14:51:08 COT 2025","TestVistaVerContaminacion","test_ver_reportes","",""
"Verifica que se pueda cargar un usuario correctamente","3","Prueba de carga de usuario exitosa","tests","Tue May 20 14:51:01 COT 2025","passed","Tue May 20 14:51:02 COT 2025","TestLogin","test_eco_guardian","",""
"Verifica que un usuario pueda iniciar sesión correctamente","390","Prueba de login exitoso","tests","Tue May 20 14:50:53 COT 2025","passed","Tue May 20 14:50:54 COT 2025","AuthTests","test_eco_guardian","",""
"Verifica que se pueda acceder a la vista sin estar autenticado","440","Prueba de vista de polen sin autenticación","tests","Tue May 20 14:51:07 COT 2025","passed","Tue May 20 14:51:07 COT 2025","TestVistaVerPolen","test_ver_reportes","",""
"Verifica el proceso de reportar contaminación","1564","Prueba de reporte de contaminación","tests","Tue May 20 14:50:54 COT 2025","passed","Tue May 20 14:50:56 COT 2025","ReportTests","test_eco_guardian","",""
"Verifica que se pueda editar el perfil del usuario","389","Prueba de edición de perfil","tests","Tue May 20 14:50:59 COT 2025","passed","Tue May 20 14:51:00 COT 2025","ProfileTests","test_eco_guardian","",""
"","392","test_criticidad_valida","tests","Tue May 20 14:51:05 COT 2025","passed","Tue May 20 14:51:05 COT 2025","TestRutasData","test_eco_guardian","",""
"Verifica el manejo de timeouts en la API de geocodificación","3","Prueba de geocodificación con timeout","tests","Tue May 20 14:51:01 COT 2025","passed","Tue May 20 14:51:01 COT 2025","TestGeocodificarDireccion","test_eco_guardian","",""
"Prueba que todas las rutas tienen una criticidad válida","2","test_criticidad_valida","tests","Tue May 20 14:51:06 COT 2025","passed","Tue May 20 14:51:06 COT 2025","","test_rutas_data","",""
"Verifica el manejo de direcciones que no se pueden geocodificar","7","Prueba de geocodificación sin resultados","tests","Tue May 20 14:51:01 COT 2025","passed","Tue May 20 14:51:01 COT 2025","TestGeocodificarDireccion","test_eco_guardian","",""
"Prueba que las coordenadas están dentro de rangos válidos","5","test_coordenadas_validas","tests","Tue May 20 14:51:06 COT 2025","passed","Tue May 20 14:51:06 COT 2025","","test_rutas_data","",""
"Prueba la estructura básica del GeoJSON","2","test_estructura_geojson","tests","Tue May 20 14:51:06 COT 2025","passed","Tue May 20 14:51:06 COT 2025","","test_rutas_data","",""
"Verifica que se pueda registrar un reporte de contaminación correctamente","958","Prueba de registro de reporte exitoso","tests","Tue May 20 14:51:00 COT 2025","passed","Tue May 20 14:51:01 COT 2025","TestRegistrarReporte","test_eco_guardian","",""
"Prueba la estructura de cada ruta","2","test_estructura_rutas","tests","Tue May 20 14:51:06 COT 2025","passed","Tue May 20 14:51:06 COT 2025","","test_rutas_data","",""
